id,query,response,cleaned_query
1,Tell me the travel package for Paris,"Travel Package for Paris:
1. Day 1: Explore shopping.
2. Day 2: Enjoy historical sites.
3. Day 3: Continue exploring the city.
4. Day 4: Visit nearby attractions.
5. Day 5: Departure.
Total Price: $2000-$3000",tell me the travel package for paris
2,Suggest a hotel in Singapore,"Suggested Hotel in Singapore: Peninsula.
It offers great amenities and is located close to major attractions.",suggest a hotel in singapore
3,Tell me the travel package for Rome,"Travel Package for Rome:
1. Day 1: Explore sightseeing.
2. Day 2: Enjoy nightlife.
3. Day 3: Continue exploring the city.
4. Day 4: Visit nearby attractions.
5. Day 5: Departure.
Total Price: $3000-$4000",tell me the travel package for rome
4,Tell me the travel package for San Francisco,"Travel Package for San Francisco:
1. Day 1: Explore shopping.
2. Day 2: Enjoy beaches.
3. Day 3: Continue exploring the city.
4. Day 4: Visit nearby attractions.
5. Day 5: Departure.
Total Price: $2000-$3000",tell me the travel package for san francisco
5,Tell me the travel package for Bangkok,"Travel Package for Bangkok:
1. Day 1: Explore sightseeing.
2. Day 2: Enjoy cultural festivals.
3. Day 3: Continue exploring the city.
4. Day 4: Visit nearby attractions.
5. Day 5: Departure.
Total Price: $3000-$4000",tell me the travel package for bangkok
6,Suggest a hotel in Barcelona,"Suggested Hotel in Barcelona: Marriott.
It offers great amenities and is located close to major attractions.",suggest a hotel in barcelona
7,Suggest a hotel in San Francisco,"Suggested Hotel in San Francisco: Marriott.
It offers great amenities and is located close to major attractions.",suggest a hotel in san francisco
8,Can you plan a budget trip to Singapore for $3000-$4000?,"Budget Trip to Singapore:
1. Day 1: Explore beaches.
2. Day 2: Enjoy sightseeing.
3. Day 3: Continue exploring the city.
4. Day 4: Visit nearby attractions.
5. Day 5: Departure.
Total Budget: $3000-$4000",can you plan a budget trip to singapore for
9,Suggest a hotel in Istanbul,"Suggested Hotel in Istanbul: Park Hyatt.
It offers great amenities and is located close to major attractions.",suggest a hotel in istanbul
10,Can you plan a budget trip to Los Angeles for $1000-$2000?,"Budget Trip to Los Angeles:
1. Day 1: Explore cultural festivals.
2. Day 2: Enjoy adventure sports.
3. Day 3: Continue exploring the city.
4. Day 4: Visit nearby attractions.
5. Day 5: Departure.
Total Budget: $1000-$2000",can you plan a budget trip to los angeles for
